来源,时间,公司规模,英文名字,中文名字,公司简称,法人,成立日期,注册资本(万元）,联系人,联系人职位,职位名称,最低工资,最高工资,工资范围,招人数,工作经验 （年数）,学历要求,行业,公司经营地址,经营范围
,2021-08-09,100-499人,,深圳吾双科技有限公司,吾双科技,吴书典,2014-07-08,1000万人民币,吴先生,副总经理,速卖通外贸主管/ aliexpress经理,15000,30000,15-30K·14薪,-,3-5年,大专,电子商务,深圳龙华区展滔科技大厦B座B2605室,一般经营项目是：信息技术咨询服务；投资兴办实业（具体项目另行申报）；经济信息咨询（不含限制项目）；在网上从事商贸活动（不含限制项目）；国内贸易、经营进出口业务（不含专营、专控、专卖商品）。（以上各项涉及法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）；软件开发；信息系统集成服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动），许可经营项目是：
,2021-08-08,0-20人,,深圳市环美环球进出口有限公司,环美环球,吴俊议,2014-12-23,200万人民币,吴先生,老板,外贸运营，国际站阿里巴巴运营,12000,20000,12-20K,-,1-3年,中专/中技,电子商务,深圳龙岗区龙山工业区8龙山工业区11-1号,一般经营项目是：化妆品、母婴用品、保健用品、日化用品、个人护理用品的购销；经营电子商务；信息咨询（不含人才中介服务、证券及限制项目）；国内贸易，从事货物及技术的进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动），许可经营项目是：乳制品、食品的销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
,2021-08-09,20-99人,,深圳鸿诚优品有限公司,鸿诚优品,郎铁蓉,2015-07-03,500万人民币,江女士,HR,西班牙语亚马逊运营/西班牙语外贸销售,12000,18000,12-18K,-,1年以内,大专,贸易/进出口,深圳龙岗区普源兴业3楼,一般经营项目是：房屋租赁、产品设计、电子商务系统的技术研发及相关技术服务、技术转让、技术咨询；经济贸易咨询；基础软件服务；应用软件服务；从事广告业务；网络技术服务;经营电子商务；国内贸易；货物及技术进出口;，许可经营项目是：互联网信息服务；
,2021-08-09,100-499人,,深圳市铭吉科技有限公司,铭吉Minch,任委委,2012-05-16,50万人民币,任先生,HR,跨境电商 速卖通 亚马逊 wish lazada 外贸,10000,15000,10-15K,-,1-3年,大专,电子商务,深圳龙岗区泉森·红木棉创意园3栋510,一般经营项目是：安防产品、平板电脑、手机、电脑配件、移动电源、LED灯的技术开发与购销；日用品、化妆品、护肤品的销售。医用口罩、防护服、无纺布、喷绒布、医用酒精（75%）、消毒液、医疗防护品、消毒用品的销售（需取得二类医疗器械经营备案后方可经营）；国内贸易（法律、行政法规、国务院决定规定在登记前须经批准的项目除外）；货物及技术进出口（法律、行政法规禁止的项目除外；法律、行政法规限制的项目须取得许可后方可经营）。，许可经营项目是：预包装食品销售，保健食品销售
,2021-08-09,20-99人,,华视伟业（深圳）科技有限公司,华视伟业,谢斌,2011-03-30,508万人民币,李女士,HRM,外贸运营,6000,11000,6-11K,-,1-3年,大专,计算机硬件,深圳冠城低碳产业园B栋9楼,一般经营项目是：电子产品的购销，投资兴办实业（具体项目另行申报）；国内贸易；货物及技术进出口。，许可经营项目是：计算机软硬件、电教产品、应用软件、电子产品的技术开发、生产及销售；电子白板、触摸屏、电视电脑一体机、液晶电视机、广告机、触控产品、液晶拼接墙、触摸软件、互动演示系统的生产及销售。
58Job,2021-08-09,1-49人,,深圳市飞橙教育有限公司,威特安,邓贵华,2011-09-09,100万人民币,,,外贸助理,6000,7000,6000-7000元/月,招1人,1-2年,大专,互联网/电子商务+贸易/进出口+电子技术/半导体/集成电路,广东省深圳市宝安区昌永路金星大厦B栋12楼威特安,一般经营项目是：安防产品、电子产品的销售及技术服务；日用百货、劳保用品的销售，计算机软硬件的技术开发与销售；货物及技术进出口，国内贸易（法律、行政法规、国务院决定规定在登记前须经批准的项目除外），许可经营项目是：安防产品、电子产品的生产；医用口罩、医护人员防护用品、医用呼吸机、温度计、额温枪、护目镜等二类医疗器械的销售
58Job,2021-08-09,1-49人,,东莞市沃克森精密模具有限公司,沃克森,郑新朝,2014-05-22,100万人民币,,,模具外贸业务员,10000,20000,10000-20000元/月,招3人,经验不限,大专,钢铁/机械/设备/重工,深圳龙岗龙岗中心城荣超英隆大厦A座2101,产销：模具、塑胶制品、五金制品；销售：机械设备及机械配件；货物或技术进出口（国家禁止或涉及行政审批的货物和技术进出口除外）。(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓
,2021-08-09,100-499人,,深圳市高峰箱包皮具有限公司,高峰箱包,王庆华,2017-12-21,100万人民币,邓女士,CEO Assistant,外贸运营,10000,11000,10-11K,-,1-3年,大专,贸易/进出口,深圳龙岗区亚洲工业园11号楼4楼,一般经营项目是：箱包和各类皮具垫子的研发和销售；货物及技术进出口；日用口罩（非医用）销售全部二类医疗器械的销售（需取得二类医疗器械经营备案后方可经营）及上门安装维修服务（仅包括常温贮存的体外诊断试剂）（以上不含法律、行政法规、国务院决定需要前置审批和禁止的项目，依法须经批准的项目，经相关部门批准后方可开展经营活动），许可经营项目是：日用口罩（非医用）生产；箱包和各类皮具的生产。
,2021-08-09,0-20人,,深圳市巨森实业有限公司,巨森,刘菊生,2015-05-14,10万人民币,刘先生,总经理,外贸美工,5000,10000,5-10K,-,经验不限,大专,贸易/进出口,深圳龙华区概念空间概念空间三楼308,一般经营项目是：投资兴办实业（具体项目另行申报）;电子产品、电热产品、美容产品、电子元器件、光电产品、太阳能产品的技术开发及销售；从事信息技术、电子产品、生物技术、化工产品、建筑建材、机械设备的技术开发、技术咨询；货物及技术进出口。（法律、行政法规、国务院决定规定在登记前须批准的项目除外），许可经营项目是：
58Job,2021-08-09,100-499人,,深圳市工业人快速成型技术有限公司,工业人,余新发,2004-11-01,200万人民币,,,外贸业务员,8000,12000,8000-12000元/月,招10人,1-2年,大专,汽车/摩托车+贸易/进出口+原材料和加工,深圳宝安新桥锐钧大厦19D,一般经营项目是：玩具、礼品、工业产品模型、模具、塑胶制品的技术开发与销售；货物及技术进出口。(不含废品收购及法律、行政法规、国务院决定规定在登记前须经批准的项目），许可经营项目是：玩具、礼品、工业产品模型、模具、塑胶制品的生产。
,2021-08-09,20-99人,,深圳市渝新欧科技有限公司,渝新欧,苏光军,2015-04-15,50万人民币,苏先生,经理,网店美工/外贸美工,5000,10000,5-10K,-,1-3年,学历不限,电子商务,深圳龙华区茂源工业园联汇大厦805（清湖地铁D出口200米）,一般经营项目是：LED灯设计与研发；电子数码产品、电子元器件的研发与销售；国内贸易；货物及技术进出口。，许可经营项目是：LED灯饰与配件、LED灯具的生产加工与销售。
58Job,2021-08-09,50-99人,,深圳市八颗贸易有限公司,雅蒂斯美,赖金设,1995-08-01,100万人民币,,,外贸业务员+包吃住+双休,5000,10000,5000-10000元/月,招10人,经验不限,学历不限,贸易/进出口,深圳龙岗爱联嶂背雅蒂斯,一般经营项目是：进出口相关配套业务（涉及国营贸易、配额、许可证及专项管理规定的商品，按国家有关规定办理申请后经营） （以上均不涉及外商投资准入特别管理措施）；美容工具销售。，许可经营项目是：生产经营文教用品、工艺美术制品、化妆用品及化妆笔、化妆用具（不含限制项目），产品７０％外销；包装装潢印刷品印刷。
